model,feature,importance
linear_regression,avg_valence,0.7833920521897999
linear_regression,avg_score,0.4579068723260666
linear_regression,first_review_year,0.05857393603541365
linear_regression,review_count,0.029702017283138128
linear_regression,last_review_year,0.007506077083794186
linear_regression,total_yt_likes,7.198555159750562e-08
linear_regression,avg_yt_views_per_track,2.1599215187240173e-08
linear_regression,total_yt_views,-2.1462835952945625e-09
linear_regression,total_yt_comments,-4.88449139716317e-07
linear_regression,avg_energy,-0.015518555970833407
linear_regression,max_score,-0.17010953253793756
linear_regression,min_score,-0.2299750209257079
linear_regression,track_count,-0.23064906218336279
linear_regression,avg_danceability,-0.7981246860983702
random_forest,total_yt_likes,0.5339133118787633
random_forest,total_yt_comments,0.08459288895773255
random_forest,total_yt_views,0.06867888172037391
random_forest,avg_yt_views_per_track,0.05528249742163147
random_forest,avg_valence,0.051711293602032124
random_forest,avg_danceability,0.05040270344801116
random_forest,avg_energy,0.04321861578207985
random_forest,avg_score,0.028215227392908694
random_forest,max_score,0.023001126276198602
random_forest,min_score,0.021063297814017765
random_forest,first_review_year,0.01800052649031946
random_forest,last_review_year,0.012277640246696052
random_forest,review_count,0.009595496764874261
random_forest,track_count,4.649220436060018e-05
