artist,song,danceability,energy,loudness,valence,yt_views,yt_likes,yt_comments,streams
Gorillaz,Feel Good Inc.,0.818,0.705,-6.679,0.772,693555221.0,6220896.0,169907.0,1040234854.0
Gorillaz,Rhinestone Eyes,0.676,0.703,-5.815,0.852,72011645.0,1079128.0,31003.0,310083733.0
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),0.695,0.923,-3.93,0.551,8435055.0,282142.0,7399.0,63063467.0
Gorillaz,On Melancholy Hill,0.689,0.739,-5.81,0.578,211754952.0,1788577.0,55229.0,434663559.0
Gorillaz,Clint Eastwood,0.663,0.694,-8.627,0.525,618480958.0,6197318.0,155930.0,617259738.0
Gorillaz,DARE,0.76,0.891,-5.852,0.966,259021161.0,1844658.0,72008.0,323850327.0
Gorillaz,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.716,0.897,-7.185,0.358,451996.0,11686.0,241.0,10666154.0
Gorillaz,She's My Collar (feat. Kali Uchis),0.726,0.815,-5.886,0.462,1010982.0,17675.0,260.0,159605929.0
Gorillaz,Cracker Island (feat. Thundercat),0.741,0.913,-3.34,0.643,24459820.0,739527.0,20296.0,42671901.0
Gorillaz,Dirty Harry,0.625,0.877,-7.176,0.865,154761056.0,1386920.0,39240.0,191074713.0
Red Hot Chili Peppers,Californication,0.592,0.767,-2.788,0.328,1018811259.0,4394471.0,121452.0,1055738398.0
Red Hot Chili Peppers,Under the Bridge,0.559,0.345,-13.496,0.458,246687714.0,1213572.0,32761.0,1061750522.0
Red Hot Chili Peppers,Can't Stop,0.618,0.938,-3.442,0.875,336635759.0,1740224.0,32573.0,866464951.0
Red Hot Chili Peppers,Scar Tissue,0.595,0.717,-4.803,0.547,435121530.0,1890900.0,37069.0,613838674.0
Red Hot Chili Peppers,Otherside,0.458,0.795,-3.265,0.513,673528656.0,3140356.0,60091.0,732774515.0
Red Hot Chili Peppers,Snow (Hey Oh),0.427,0.9,-3.674,0.599,320871237.0,1272266.0,37004.0,860722316.0
Red Hot Chili Peppers,Dani California,0.556,0.913,-2.36,0.73,324228662.0,1456622.0,49461.0,550067391.0
Red Hot Chili Peppers,By the Way,0.451,0.97,-4.938,0.198,179005296.0,784717.0,20084.0,367485508.0
Red Hot Chili Peppers,Give It Away,0.666,0.936,-9.919,0.776,86637926.0,434837.0,16029.0,301947159.0
Red Hot Chili Peppers,Dark Necessities,0.7,0.742,-6.777,0.197,440037964.0,2094182.0,56516.0,385677873.0
50 Cent,In Da Club,0.902,0.72,-2.776,0.805,1682616458.0,10481678.0,296745.0,1041736808.0
50 Cent,Candy Shop,0.614,0.574,-7.961,0.755,838974650.0,5014527.0,113251.0,701248893.0
50 Cent,Just A Lil Bit,0.489,0.692,-6.672,0.527,476133463.0,2523312.0,42075.0,395155110.0
50 Cent,P.I.M.P.,0.7,0.758,-3.012,0.889,572659065.0,3334710.0,60552.0,541728561.0
50 Cent,Many Men (Wish Death),0.653,0.826,-2.93,0.416,441155628.0,2765887.0,84117.0,332175400.0
50 Cent,Disco Inferno,0.925,0.659,-4.763,0.71,39825951.0,382791.0,12038.0,202477187.0
50 Cent,21 Questions,0.576,0.807,-3.908,0.908,503248572.0,2759199.0,54805.0,446003044.0
50 Cent,Is This Love ('09) (feat. 50 Cent),0.853,0.776,-4.221,0.659,5289821.0,245935.0,9008.0,28529840.0
50 Cent,If I Can't,0.892,0.631,-2.522,0.838,46096.0,612.0,14.0,210473579.0
50 Cent,Best Friend - Remix,0.545,0.64,-3.529,0.574,291023.0,5729.0,46.0,160037992.0
Metallica,Enter Sandman (Remastered),0.566,0.834,-8.412,0.621,573553706.0,2828795.0,81335.0,
Metallica,Nothing Else Matters (Remastered),0.547,0.394,-9.793,0.17,1209806093.0,5127599.0,135946.0,
Metallica,Master of Puppets (Remastered),0.539,0.828,-9.108,0.562,20762910.0,293409.0,1703.0,
Metallica,Whiskey In The Jar,0.511,0.972,-3.751,0.532,107553434.0,429797.0,12074.0,327681785.0
Metallica,The Unforgiven (Remastered),0.531,0.583,-9.47,0.207,426125708.0,1781690.0,46392.0,
Metallica,One (Remastered),0.438,0.687,-9.15,0.426,524.0,18.0,1.0,
Metallica,For Whom The Bell Tolls (Remastered),0.512,0.86,-6.145,0.258,23666398.0,274106.0,667.0,
Metallica,Lux Æterna,0.386,0.996,-2.96,0.188,14937918.0,473751.0,46230.0,20061385.0
Metallica,Sad But True (Remastered),0.624,0.876,-6.005,0.453,72737062.0,418124.0,15110.0,
Metallica,Screaming Suicide,0.425,0.972,-3.448,0.282,4317758.0,217109.0,17225.0,3905429.0
Coldplay,Yellow,0.429,0.661,-7.227,0.285,832532409.0,4600933.0,118296.0,1483622308.0
Coldplay,Viva La Vida,0.486,0.617,-7.115,0.417,789581468.0,4370461.0,261790.0,1325575712.0
Coldplay,Sparks,0.371,0.268,-10.506,0.165,73201019.0,787343.0,1637.0,475353044.0
Coldplay,Something Just Like This,0.617,0.635,-6.769,0.446,2118018686.0,10282499.0,270444.0,2030825694.0
Coldplay,The Scientist,0.557,0.442,-7.224,0.213,1082588109.0,5532787.0,124357.0,1465980600.0
Coldplay,A Sky Full of Stars,0.545,0.675,-6.474,0.162,786404613.0,3741300.0,79974.0,1021782403.0
Coldplay,Paradise,0.449,0.585,-6.761,0.212,1665814269.0,8497224.0,343020.0,927288329.0
Coldplay,Hymn for the Weekend,0.491,0.693,-6.487,0.412,1828242112.0,13515772.0,377666.0,1049654852.0
Coldplay,My Universe,0.573,0.711,-6.268,0.47,254655970.0,8867547.0,432726.0,883224238.0
Coldplay,Fix You,0.209,0.417,-8.74,0.124,566239229.0,2962029.0,114460.0,1115171056.0
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794,0.811,-8.966,0.862,32310867.0,956073.0,19646.0,844698895.0
Daft Punk,One More Time,0.613,0.697,-8.618,0.476,432177586.0,2707992.0,110189.0,471747761.0
Daft Punk,Instant Crush (feat. Julian Casablancas),0.775,0.585,-9.516,0.518,606828966.0,3111505.0,87115.0,460589724.0
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),0.81,0.793,-9.404,0.863,32310867.0,956073.0,19646.0,400304719.0
Daft Punk,Around the World,0.956,0.795,-5.311,0.841,38218353.0,466569.0,11904.0,293417547.0
Daft Punk,"Harder, Better, Faster, Stronger",0.817,0.716,-8.898,0.692,121308880.0,1329678.0,70754.0,292668007.0
Daft Punk,Something About Us,0.875,0.475,-12.673,0.384,77464307.0,723914.0,23915.0,185381876.0
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),0.832,0.659,-7.828,0.674,195983803.0,1115598.0,37436.0,274711166.0
Daft Punk,Veridis Quo,0.605,0.687,-13.928,0.12,23984070.0,216822.0,7260.0,90589464.0
Daft Punk,Digital Love,0.644,0.664,-8.398,0.53,30079390.0,203063.0,8957.0,115484456.0
Linkin Park,In the End,0.556,0.864,-5.87,0.4,1487186392.0,10183387.0,409471.0,1444841705.0
Linkin Park,Numb,0.496,0.863,-4.153,0.243,1928733776.0,12341722.0,550921.0,1195213410.0
Linkin Park,What I've Done,0.623,0.93,-5.285,0.287,587927093.0,3370635.0,148741.0,589294152.0
Linkin Park,Numb / Encore,0.687,0.793,-4.254,0.751,44436981.0,226771.0,9260.0,778880225.0
Linkin Park,One Step Closer,0.492,0.969,-4.419,0.538,154808291.0,1102031.0,33750.0,447287242.0
Linkin Park,Faint,0.554,0.978,-3.554,0.594,378323695.0,2061834.0,65731.0,413355749.0
Linkin Park,Bleed It Out,0.529,0.967,-3.647,0.596,135176149.0,762715.0,27609.0,388331061.0
Linkin Park,Papercut,0.524,0.939,-3.994,0.661,240834555.0,1400306.0,50003.0,345142662.0
Linkin Park,Crawling,0.58,0.702,-5.565,0.299,374506972.0,2197293.0,96490.0,391929621.0
Linkin Park,BURN IT DOWN,0.585,0.972,-4.45,0.585,353135986.0,2534190.0,113567.0,368132993.0
Radiohead,Creep,0.515,0.43,-9.935,0.104,763497849.0,4777393.0,147276.0,1101854725.0
Radiohead,No Surprises,0.255,0.393,-10.654,0.118,167847274.0,1274934.0,40034.0,379349681.0
Radiohead,Karma Police,0.36,0.501,-9.129,0.324,89246405.0,593396.0,17682.0,382823305.0
Radiohead,High and Dry,0.419,0.383,-11.782,0.35,80290.0,2133.0,238.0,291096318.0
Radiohead,Exit Music (For A Film),0.293,0.276,-11.357,0.195,10644157.0,171322.0,1669.0,146857863.0
Radiohead,Weird Fishes/ Arpeggi,0.531,0.61,-8.025,0.199,15335499.0,125774.0,4852.0,121688699.0
Radiohead,Jigsaw Falling Into Place,0.462,0.832,-6.085,0.807,26398730.0,180969.0,8010.0,79367881.0
Radiohead,Fake Plastic Trees,0.463,0.229,-12.592,0.135,61340263.0,398951.0,15400.0,219867047.0
Radiohead,Just,0.291,0.767,-6.913,0.359,15041854.0,146328.0,6899.0,88945336.0
Radiohead,Nude,0.516,0.342,-9.785,0.167,12205514.0,124486.0,4536.0,86388469.0
AC/DC,Highway to Hell,0.574,0.913,-4.793,0.423,274830901.0,2039258.0,44487.0,1143164505.0
AC/DC,Thunderstruck,0.502,0.89,-5.175,0.259,1224226060.0,5989128.0,153047.0,1088388556.0
AC/DC,Back In Black,0.31,0.7,-5.678,0.763,915158054.0,5643694.0,134549.0,1182379398.0
AC/DC,You Shook Me All Night Long,0.532,0.767,-5.509,0.755,279117834.0,1348845.0,26645.0,802076123.0
AC/DC,T.N.T.,0.754,0.759,-5.218,0.435,240908491.0,934797.0,19584.0,526521070.0
AC/DC,Hells Bells,0.389,0.873,-4.768,0.303,252038354.0,1067479.0,29353.0,296521772.0
AC/DC,Dirty Deeds Done Dirt Cheap,0.668,0.906,-4.881,0.507,852728.0,14044.0,1029.0,269837425.0
AC/DC,Shoot to Thrill,0.457,0.904,-5.303,0.48,172293392.0,642344.0,17673.0,292026041.0
AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),0.456,0.863,-3.551,0.532,102527.0,1881.0,240.0,196347993.0
AC/DC,Rock N Roll Train,0.547,0.931,-2.356,0.697,18237531.0,119749.0,2251.0,144143014.0
Black Eyed Peas,I Gotta Feeling,0.744,0.766,-6.375,0.61,638267058.0,3670416.0,131565.0,1001227038.0
Black Eyed Peas,DON'T YOU WORRY,0.831,0.868,-5.282,0.483,144690551.0,1327396.0,57072.0,162685755.0
Black Eyed Peas,Where Is The Love?,0.834,0.699,-3.222,0.809,888076529.0,4899065.0,180386.0,752091441.0
Black Eyed Peas,Just Can’t Get Enough,0.659,0.628,-8.685,0.262,292211575.0,1594576.0,70720.0,331578264.0
Black Eyed Peas,GIRL LIKE ME,0.965,0.485,-8.784,0.312,662529115.0,5488829.0,222922.0,453923193.0
Black Eyed Peas,Pump It,0.649,0.931,-3.15,0.744,755836314.0,4746197.0,133551.0,492130246.0
Black Eyed Peas,Pump It Louder,0.66,0.942,-2.273,0.543,2099141.0,61252.0,1238.0,27908495.0
Black Eyed Peas,Meet Me Halfway,0.798,0.629,-6.857,0.4,458724349.0,2094991.0,73011.0,363930118.0
Black Eyed Peas,RITMO (Bad Boys For Life),0.732,0.716,-6.968,0.666,1021503328.0,6398855.0,130819.0,869795408.0
Black Eyed Peas,SIMPLY THE BEST,0.872,0.789,-6.047,0.646,43226385.0,242932.0,38381.0,18501860.0
Michael Jackson,Billie Jean,0.932,0.457,-9.62,0.884,1300732161.0,9523245.0,508425.0,1302677366.0
Michael Jackson,Chicago,0.608,0.756,-2.675,0.55,545655.0,7314.0,386.0,103974637.0
Michael Jackson,Beat It,0.776,0.711,-9.03,0.901,905692299.0,6656468.0,259358.0,826832314.0
Michael Jackson,Smooth Criminal - 2012 Remaster,0.853,0.981,-3.947,0.595,84652754.0,672624.0,25952.0,526030670.0
Michael Jackson,Rock with You - Single Version,0.808,0.535,-12.521,0.848,301845823.0,2269865.0,87490.0,346137424.0
Michael Jackson,Don't Stop 'Til You Get Enough,0.878,0.821,-9.875,0.947,349102050.0,2254295.0,89160.0,389644450.0
Michael Jackson,They Don't Care About Us,0.859,0.905,-5.539,0.731,978680025.0,8312571.0,335112.0,256361972.0
Michael Jackson,Remember the Time,0.831,0.921,-2.383,0.795,504057332.0,3085718.0,127080.0,224254298.0
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,0.877,0.854,-4.523,0.54,436325398.0,2515830.0,94765.0,349629692.0
Michael Jackson,Love Never Felt So Good,0.775,0.719,-6.212,0.712,343328494.0,2121502.0,53821.0,280500270.0
P!nk,Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,-7.273,0.441,1518313784.0,6420621.0,166423.0,995490565.0
P!nk,Never Gonna Not Dance Again,0.668,0.802,-4.005,0.769,10941241.0,216805.0,7540.0,34361626.0
P!nk,Raise Your Glass,0.7,0.709,-5.006,0.624,237232986.0,1026177.0,47667.0,502735560.0
P!nk,Try,0.674,0.628,-7.079,0.552,534286492.0,2554163.0,78435.0,476783121.0
P!nk,So What,0.534,0.87,-3.078,0.462,432775314.0,2187945.0,60960.0,471672024.0
P!nk,What About Us,0.491,0.588,-6.177,0.193,339837769.0,1819636.0,38357.0,662431775.0
P!nk,Cover Me In Sunshine,0.473,0.592,-6.859,0.292,80575503.0,948515.0,24233.0,346097538.0
P!nk,TRUSTFALL,0.636,0.888,-3.889,0.25,3309247.0,146755.0,5707.0,2790105.0
P!nk,Who Knew,0.688,0.734,-4.569,0.46,168736063.0,611231.0,20095.0,219363750.0
P!nk,True Love (feat. Lily Allen),0.457,0.823,-4.76,0.578,149977268.0,938718.0,31361.0,170002964.0
Eminem,Mockingbird,0.637,0.678,-3.798,0.254,719661717.0,5550929.0,205147.0,908006704.0
Eminem,Without Me,0.908,0.669,-2.827,0.662,1590485349.0,11469490.0,341006.0,1457351902.0
Eminem,The Real Slim Shady,0.949,0.661,-4.244,0.76,777507160.0,6489755.0,169037.0,1232567233.0
Eminem,Superman,0.802,0.755,-3.138,0.58,139257221.0,950561.0,35404.0,466021760.0
Eminem,Till I Collapse,0.548,0.847,-3.237,0.1,1931315.0,18992.0,291.0,1548871694.0
Eminem,Stan,0.78,0.768,-4.325,0.507,623027280.0,5152714.0,199113.0,799979337.0
Eminem,Love The Way You Lie,0.749,0.925,-5.034,0.641,2539156924.0,12696568.0,599124.0,1115478746.0
Eminem,Godzilla (feat. Juice WRLD),0.808,0.745,-5.26,0.829,547039623.0,9287567.0,398333.0,1072650382.0
Eminem,Sing For The Moment,0.668,0.824,-4.164,0.185,454015875.0,2471743.0,99418.0,357737050.0
Eminem,Not Afraid,0.855,0.954,-1.19,0.668,1727241246.0,11425215.0,872181.0,789922926.0
Pharrell Williams,"Happy - From ""Despicable Me 2""",0.647,0.822,-4.662,0.962,128396799.0,718507.0,14157.0,1143833476.0
Pharrell Williams,Down In Atlanta,0.851,0.819,-5.173,0.903,3658044.0,88925.0,2271.0,42006396.0
Pharrell Williams,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",0.893,0.745,-3.105,0.872,673495248.0,4097957.0,105475.0,981287133.0
Pharrell Williams,Cash In Cash Out,0.877,0.56,-3.751,0.154,20392451.0,560857.0,16545.0,104603335.0
Pharrell Williams,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",0.81,0.733,-6.338,0.9,26641550.0,315368.0,9132.0,99934776.0
Pharrell Williams,Hit Different,0.679,0.516,-6.371,0.716,121559320.0,1081676.0,36266.0,198332490.0
Pharrell Williams,Neon Guts (feat. Pharrell Williams),0.859,0.563,-6.635,0.412,35793144.0,431472.0,11252.0,219355874.0
Pharrell Williams,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),0.827,0.571,-7.949,0.62,11408003.0,477302.0,12628.0,99577335.0
Pharrell Williams,Just A Cloud Away,0.89,0.46,-8.155,0.677,2672481.0,63065.0,75.0,105629259.0
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,0.894,0.404,-5.913,0.759,59095041.0,433116.0,13530.0,114177468.0
Khalid,lovely (with Khalid),0.351,0.296,-10.109,0.12,1721382178.0,24425840.0,561909.0,2110573779.0
Khalid,Numb,0.912,0.774,-4.673,0.632,25212794.0,418647.0,7041.0,203066841.0
Khalid,Silence,0.52,0.761,-3.093,0.286,129183587.0,1480652.0,37678.0,1322057199.0
Khalid,Young Dumb & Broke,0.799,0.539,-6.351,0.394,886349984.0,5968729.0,147072.0,1290687019.0
Khalid,Eastside (with Halsey & Khalid),0.632,0.686,-7.665,0.329,632400004.0,2781127.0,34795.0,1424962511.0
Khalid,Better,0.596,0.552,-10.278,0.112,860718114.0,4030063.0,68320.0,1143264716.0
Khalid,Location,0.736,0.449,-11.462,0.326,544666810.0,3251468.0,61104.0,1221083395.0
Khalid,8TEEN,0.83,0.585,-5.802,0.642,1381628.0,12115.0,158.0,586480399.0
Khalid,Beautiful People (feat. Khalid),0.64,0.647,-8.114,0.546,353454004.0,2754251.0,54867.0,1241240312.0
Khalid,Love Lies (with Normani),0.708,0.648,-5.626,0.338,243497172.0,1758555.0,28321.0,843423744.0
Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",0.778,0.632,-5.6,0.498,252068988.0,9415668.0,525670.0,196761853.0
Shakira,Monotonía,0.873,0.695,-4.207,0.823,189132077.0,3670104.0,161071.0,220692224.0
Shakira,Te Felicito,0.695,0.636,-4.654,0.575,460717876.0,3361051.0,155635.0,473003231.0
Shakira,Hips Don't Lie (feat. Wyclef Jean),0.778,0.824,-5.892,0.758,1214508056.0,6540184.0,223326.0,1164605089.0
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.758,0.871,-6.408,0.753,3463816330.0,20327883.0,1283529.0,629918488.0
Shakira,DON'T YOU WORRY,0.831,0.868,-5.282,0.483,144690551.0,1327396.0,57072.0,162685755.0
Shakira,Dia de Enero,0.687,0.361,-11.589,0.526,151765834.0,507258.0,20625.0,138360843.0
Shakira,Chantaje (feat. Maluma),0.852,0.773,-2.921,0.907,2805793003.0,10370533.0,404270.0,859799057.0
Shakira,Inevitable,0.595,0.461,-7.786,0.338,135287306.0,437988.0,25673.0,220084336.0
Shakira,Antologia,0.839,0.403,-11.059,0.575,359765.0,4970.0,245.0,229134152.0
Machine Gun Kelly,my ex's best friend (with blackbear),0.731,0.675,-5.134,0.298,102439463.0,1072165.0,33820.0,574531280.0
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),0.628,0.744,-4.718,0.277,111974897.0,1198821.0,47830.0,426759364.0
Machine Gun Kelly,maybe (feat. Bring Me The Horizon),0.601,0.92,-4.802,0.537,20170299.0,294321.0,10253.0,90825980.0
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0.653,0.718,-5.232,0.216,206242355.0,1923118.0,31427.0,382579404.0
Machine Gun Kelly,forget me too (feat. Halsey),0.654,0.875,-4.845,0.522,68116200.0,854345.0,30673.0,254290993.0
Machine Gun Kelly,bloody valentine,0.533,0.858,-4.212,0.506,117833946.0,1278216.0,71379.0,280845476.0
Machine Gun Kelly,Bad Things (with Camila Cabello),0.697,0.691,-4.757,0.305,449712619.0,3621125.0,110107.0,615784555.0
Machine Gun Kelly,make up sex (feat. blackbear),0.665,0.678,-4.122,0.682,15391210.0,182210.0,7137.0,67878913.0
Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",0.721,0.632,-6.695,0.296,35856519.0,335937.0,3392.0,212221697.0
Machine Gun Kelly,ay! (feat. Lil Wayne),0.742,0.617,-6.689,0.491,19671018.0,273280.0,13598.0,62736773.0
Nicky Jam,X,0.594,0.749,-5.298,0.694,2133459242.0,9883068.0,262847.0,865695837.0
Nicky Jam,El Perdón (with Enrique Iglesias),0.628,0.69,-5.83,0.66,1381668642.0,4089045.0,96876.0,765561212.0
Nicky Jam,Bella y Sensual,0.635,0.713,-6.909,0.749,736730327.0,2634233.0,56053.0,418186764.0
Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41",0.627,0.849,-3.167,0.818,592005.0,6740.0,96.0,185931694.0
Nicky Jam,Cuaderno,0.681,0.648,-5.021,0.688,321420163.0,1811446.0,31069.0,350576786.0
Nicky Jam,En La Cama (feat. Daddy Yankee),0.855,0.912,-4.832,0.885,115543124.0,748538.0,14194.0,136025763.0
Nicky Jam,Si Te Preguntan...,0.76,0.803,-2.867,0.922,61711565.0,435031.0,5375.0,37382738.0
Nicky Jam,Hasta el Amanecer,0.832,0.608,-6.042,0.589,1546036758.0,4733493.0,168819.0,479847676.0
Nicky Jam,Color Esperanza 2020,0.591,0.785,-7.768,0.785,24706293.0,557112.0,17598.0,89466323.0
Nicky Jam,Donde Estan las Gatas,0.827,0.788,-11.937,0.815,162725.0,2340.0,62.0,126333112.0
The Beatles,Here Comes The Sun - Remastered 2009,0.557,0.54,-10.484,0.394,114971785.0,1126554.0,32910.0,942898131.0
The Beatles,Let It Be - Remastered 2009,0.443,0.403,-8.339,0.41,131925109.0,1075941.0,15452.0,526788025.0
The Beatles,Come Together - Remastered 2009,0.533,0.376,-11.913,0.187,31607772.0,383619.0,3211.0,574936342.0
The Beatles,Yesterday - Remastered 2009,0.332,0.179,-11.83,0.315,42856675.0,475089.0,5938.0,475131674.0
The Beatles,Twist And Shout - Remastered 2009,0.482,0.849,-9.198,0.937,53228361.0,490790.0,4309.0,341963190.0
The Beatles,Blackbird - Remastered 2009,0.686,0.127,-14.361,0.372,33852949.0,365297.0,4522.0,326733164.0
The Beatles,In My Life - Remastered 2009,0.688,0.435,-11.359,0.435,63223118.0,463315.0,8607.0,266426563.0
The Beatles,Hey Jude - Remastered 2015,0.386,0.607,-7.7,0.532,56888766.0,460662.0,6569.0,486111943.0
The Beatles,I Want To Hold Your Hand - Remastered 2015,0.49,0.715,-5.549,0.866,28799448.0,275921.0,4031.0,334903879.0
The Beatles,Something - Remastered 2009,0.396,0.338,-10.872,0.377,96849734.0,675186.0,26651.0,233382117.0
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.671,0.939,-3.206,0.53,1007596168.0,4265538.0,162078.0,777641580.0
Pitbull,Timber (feat. Ke$ha),0.581,0.963,-4.087,0.788,1405539965.0,5671596.0,158456.0,1120973873.0
Pitbull,Time of Our Lives,0.721,0.802,-5.797,0.724,253293371.0,1423079.0,25528.0,981156901.0
Pitbull,Feel This Moment (feat. Christina Aguilera),0.673,0.758,-3.632,0.542,704875181.0,2999847.0,113202.0,481224452.0
Pitbull,International Love (feat. Chris Brown),0.67,0.855,-3.035,0.648,866480662.0,2961540.0,153962.0,347393726.0
Pitbull,Fireball (feat. John Ryan),0.761,0.933,-5.38,0.836,307624507.0,1576522.0,30102.0,424022714.0
Pitbull,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),0.592,0.935,-4.317,0.567,894756316.0,4925915.0,267026.0,222056078.0
Pitbull,Hotel Room Service,0.85,0.631,-8.401,0.738,313590021.0,1533812.0,45324.0,374912951.0
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),0.595,0.912,-3.428,0.762,300032949.0,1078390.0,36962.0,193172998.0
Pitbull,HOT,0.898,0.677,-6.422,0.578,52214351.0,688783.0,16459.0,52166142.0
Sean Paul,No Lie,0.742,0.882,-2.862,0.463,1120854023.0,7147862.0,108564.0,851711837.0
Sean Paul,Temperature,0.951,0.6,-4.675,0.822,361314925.0,2124819.0,38673.0,590578908.0
Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),0.801,0.764,-5.112,0.578,165860569.0,2514731.0,32073.0,122450231.0
Sean Paul,Get Busy,0.741,0.824,-4.143,0.725,208573237.0,1324227.0,20700.0,381155556.0
Sean Paul,She Doesn't Mind,0.718,0.776,-5.208,0.622,505918510.0,2235710.0,59894.0,266413452.0
Sean Paul,Give It Up to Me,0.855,0.674,-4.328,0.578,306887054.0,1317175.0,17399.0,49412471.0
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,0.711,0.761,-3.04,0.718,306887054.0,1317175.0,17399.0,51339097.0
Sean Paul,I'm Still in Love with You (feat. Sasha),0.765,0.666,-5.384,0.757,314611933.0,2018040.0,29163.0,176824685.0
Sean Paul,UP,0.812,0.712,-5.993,0.85,81787112.0,668740.0,12932.0,47517159.0
Sean Paul,Contra La Pared,0.828,0.588,-7.14,0.598,256405663.0,1928933.0,20224.0,336056798.0
Elvis Presley,Can't Help Falling in Love,0.396,0.293,-14.062,0.343,363854960.0,3486602.0,125337.0,642724292.0
Elvis Presley,Blue Christmas,0.465,0.27,-16.661,0.58,46348788.0,209579.0,7591.0,293604060.0
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),0.575,0.236,-16.982,0.829,282465.0,4533.0,155.0,115786722.0
Elvis Presley,Suspicious Minds,0.487,0.382,-10.889,0.714,7484414.0,84407.0,1872.0,355940570.0
Elvis Presley,Burning Love,0.66,0.748,-11.206,0.972,3649438.0,17369.0,811.0,217996516.0
Elvis Presley,Always On My Mind,0.358,0.387,-14.342,0.495,12982178.0,152547.0,3757.0,126445901.0
Elvis Presley,If I Can Dream,0.325,0.715,-7.744,0.282,43935538.0,374007.0,22080.0,19601041.0
Elvis Presley,Jailhouse Rock,0.623,0.537,-10.014,0.905,242588704.0,1868278.0,53891.0,362889100.0
Elvis Presley,In the Ghetto,0.404,0.266,-16.688,0.491,8647838.0,,2484.0,138978979.0
Elvis Presley,(You're The) Devil in Disguise,0.481,0.733,-7.633,0.874,14332854.0,370274.0,4350.0,107417556.0
2Pac,Hit 'Em Up - Single Version,0.916,0.844,-3.967,0.586,585712131.0,4363164.0,208460.0,375955728.0
2Pac,Ambitionz Az A Ridah,0.801,0.91,-6.566,0.805,89682.0,1301.0,41.0,578493150.0
2Pac,California Love - Original Version,0.763,0.85,-3.052,0.761,84654029.0,484619.0,12875.0,497213287.0
2Pac,All Eyez On Me (ft. Big Syke),0.872,0.723,-5.968,0.843,14035099.0,64269.0,1918.0,428728611.0
2Pac,Do For Love,0.874,0.63,-3.585,0.717,1276815.0,24831.0,820.0,213745248.0
2Pac,Changes,0.865,0.665,-6.289,0.331,306542.0,4350.0,305.0,411056377.0
2Pac,Dear Mama,0.773,0.54,-7.123,0.322,381061439.0,3225481.0,134343.0,243928109.0
2Pac,Keep Ya Head Up,0.598,0.732,-7.013,0.595,5434057.0,58781.0,2136.0,211103197.0
2Pac,2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),0.849,0.904,-4.78,0.854,18949722.0,251281.0,6109.0,178709066.0
2Pac,Can't C Me,0.795,0.852,-2.238,0.673,1002891.0,13416.0,814.0,117899041.0
Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),0.762,0.861,-3.296,0.955,48725891.0,2843117.0,200546.0,172373567.0
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",0.553,0.652,-6.685,0.551,726601997.0,5635352.0,149004.0,1138123751.0
Snoop Dogg,Drop It Like It's Hot,0.888,0.632,-3.872,0.662,242845147.0,1854617.0,50520.0,466458137.0
Snoop Dogg,"That's My N**** (with Meek Mill, YG & Snoop Dogg)",0.723,0.732,-5.514,0.503,14272788.0,175218.0,3211.0,248359900.0
Snoop Dogg,From The D 2 The LBC (with Snoop Dogg),0.718,0.768,-7.87,0.591,70515275.0,2308329.0,97470.0,46192225.0
Snoop Dogg,Sweat - Remix,0.813,0.732,-5.636,0.731,237582702.0,1010443.0,39623.0,222949118.0
Snoop Dogg,Beautiful,0.907,0.695,-6.268,0.961,202432469.0,1231331.0,27893.0,202521145.0
Snoop Dogg,I Wanna Fuck You,0.861,0.48,-8.433,0.278,31364.0,373.0,6.0,82111629.0
